rule_short_code,rule_name,rule_category,source_document,applicable_modules,severity,check_type,check_pattern,expected_value,is_auto_checkable,remediation_guide,rule_status
NMC-CRM-001,CRM function name must have CRM_ prefix and _fn suffix,Naming,04_CRM,CRM,HIGH,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^CRM_[a-zA-Z][a-zA-Z0-9]+_(fn|wf|bp|rpt|dsh|con|var)$"",""data_key"":""crm_functions""}",CRM_VerbNoun_fn,TRUE,Rename the function in CRM Settings → Functions. Use pattern: CRM_VerbNoun_fn,Active
NMC-CRM-002,CRM custom field API name must be UPPER_SNAKE_CASE,Naming,04_CRM,CRM,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][A-Z0-9_]+[A-Z0-9]$"",""data_key"":""crm_fields""}",FIELD_API_NAME,TRUE,Rename field API name in CRM Settings → Modules → Fields. Use UPPER_SNAKE_CASE.,Active
NMC-CRM-003,CRM Boolean field must start with Is_ or Has_,Naming,04_CRM,CRM,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^(Is_|Has_|Can_)[A-Z]"",""data_key"":""crm_fields"",""filter_type"":""boolean""}",Is_FieldName or Has_FieldName,TRUE,Rename boolean field to start with Is_ Has_ or Can_.,Active
NMC-CRM-004,CRM Date field API name must end with _Date,Naming,04_CRM,CRM,LOW,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":"".*_Date$"",""data_key"":""crm_fields"",""filter_type"":""date""}",Field_Name_Date,TRUE,Rename date field to end with _Date.,Active
NMC-CRM-005,CRM Blueprint name must end with _BP,Naming,04_CRM,CRM,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":"".*_BP$"",""data_key"":""crm_blueprints""}",Module_Process_BP,TRUE,Rename blueprint in CRM Settings → Blueprints.,Active
NMC-CRM-006,CRM Workflow must follow Module_Trigger_Action format,Naming,04_CRM,CRM,LOW,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+$"",""data_key"":""crm_workflows""}",Lead_OnCreate_AssignOwner,TRUE,Rename workflow in CRM Settings → Automation.,Active
NMC-CRM-007,CRM Pipeline must follow Market_Product_Pipeline format,Naming,04_CRM,CRM,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+_Pipeline$"",""data_key"":""crm_pipelines""}",Japan_SaaS_Pipeline,TRUE,Rename pipeline in CRM Settings → Deals → Pipelines.,Active
NMC-CRT-001,Creator function must have CRT_ prefix and _fn suffix,Naming,02_Creator,Creator,HIGH,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^CRT_[a-zA-Z][a-zA-Z0-9]+_(fn|sch|wf)$"",""data_key"":""creator_functions""}",CRT_VerbNoun_fn,TRUE,Rename function in Creator → Functions.,Active
NMC-CRT-002,Creator form names must be PascalCase singular,Naming,02_Creator,Creator,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][a-zA-Z0-9]*$"",""data_key"":""creator_forms""}",EntityName (e.g. ScanFinding),TRUE,Rename form in Creator → Form Properties.,Active
NMC-CRT-003,Creator report name must follow Entity_ViewType_Filter format,Naming,02_Creator,Creator,LOW,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+(_[A-Z][a-zA-Z]+)?$"",""data_key"":""creator_reports""}",Projects_List_Active,TRUE,Rename report in Creator → Reports.,Active
NMC-PEO-001,People custom function must have PEO_ prefix and _fn suffix,Naming,05_People,People,HIGH,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^PEO_[a-zA-Z][a-zA-Z0-9]+_fn$"",""data_key"":""people_functions""}",PEO_VerbNoun_fn,TRUE,Rename function in People → Custom Functions.,Active
NMC-PEO-002,People custom fields must have PEO_ prefix,Naming,05_People,People,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^PEO_[A-Z][A-Z0-9_]+$"",""data_key"":""people_fields""}",PEO_Field_Name,TRUE,Rename field in People → Custom Fields. Prefix with PEO_.,Active
NMC-PEO-003,People alert name must follow Event_Audience_Alert format,Naming,05_People,People,LOW,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+_Alert$"",""data_key"":""people_alerts""}",LeaveApproved_Employee_Alert,TRUE,Rename alert in People → Notifications.,Active
NMC-RCT-001,Recruit function must have RCT_ prefix and _fn suffix,Naming,06_Recruit,Recruit,HIGH,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^RCT_[a-zA-Z][a-zA-Z0-9]+_fn$"",""data_key"":""recruit_functions""}",RCT_VerbNoun_fn,TRUE,Rename function in Recruit → Custom Functions.,Active
NMC-RCT-002,Recruit workflow must follow Module_Trigger_Action format,Naming,06_Recruit,Recruit,LOW,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+$"",""data_key"":""recruit_workflows""}",Candidate_OnCreate_AssignRecruiter,TRUE,Rename workflow in Recruit → Automation.,Active
NMC-FRM-001,Zoho Form name must follow Purpose_Audience_vN format,Naming,07_Forms,Forms,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+_v[0-9]+$"",""data_key"":""forms_list""}",LeadCapture_Website_v1,TRUE,Rename form in Zoho Forms. Pattern: Purpose_Audience_vN.,Active
NMC-FRM-002,Forms integration name must have FRM_ prefix,Naming,07_Forms,Forms,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^FRM_[A-Z][a-zA-Z]+_To_[A-Z][a-zA-Z]+$"",""data_key"":""forms_integrations""}",FRM_LeadCapture_To_CRM,TRUE,Rename integration in Zoho Forms → Integrations.,Active
NMC-FRM-003,Forms notification must follow Form_Event_Recipient format,Naming,07_Forms,Forms,LOW,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][a-zA-Z]+_On[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+$"",""data_key"":""forms_notifications""}",LeadCapture_OnSubmit_SalesTeam,TRUE,Rename notification in Zoho Forms → Notifications.,Active
NMC-ANL-001,Analytics workspace must follow Domain_Team_Workspace format,Naming,08_Analytics,Analytics,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+_Workspace$"",""data_key"":""analytics_workspaces""}",Sales_FCI_Workspace,TRUE,Rename workspace in Analytics → Settings.,Active
NMC-ANL-002,Analytics table must have module prefix (CRM_ PEOPLE_ etc.),Naming,08_Analytics,Analytics,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^(CRM_|CREATOR_|PEOPLE_|RECRUIT_|CATALYST_|FORMS_|MANUAL_|EXT_)[A-Z][a-zA-Z0-9]+$"",""data_key"":""analytics_tables""}",CRM_Leads or PEOPLE_Employees,TRUE,Rename table in Analytics with the correct module prefix.,Active
NMC-ANL-003,Analytics report must follow Module_Metric_TimeRange format,Naming,08_Analytics,Analytics,LOW,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+(_[A-Z][a-zA-Z]+)?$"",""data_key"":""analytics_reports""}",CRM_LeadConversion_Monthly,TRUE,Rename report in Analytics.,Active
NMC-ANL-004,Analytics dashboard must follow Audience_Domain_Dashboard format,Naming,08_Analytics,Analytics,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[A-Z][a-zA-Z]+_[A-Z][a-zA-Z]+_Dashboard$"",""data_key"":""analytics_dashboards""}",Director_Revenue_Dashboard,TRUE,Rename dashboard in Analytics.,Active
NMC-SGM-001,Sigma extension unique name must have fci_ prefix,Naming,03_Sigma,Sigma,HIGH,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^fci_[a-z][a-z0-9_]+$"",""data_key"":""sigma_extensions""}",fci_lead_scorer,TRUE,Update extension unique name in Sigma Marketplace manifest.,Active
NMC-SGM-002,Sigma widget component names must be kebab-case,Naming,03_Sigma,Sigma,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[a-z][a-z0-9-]+[a-z0-9]$"",""data_key"":""sigma_components""}",lead-score-panel,TRUE,Rename component in Sigma extension manifest.,Active
NMC-SGM-003,Sigma connection names must be lowercase_underscore,Naming,03_Sigma,Sigma,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[a-z][a-z0-9_]+[a-z0-9]$"",""data_key"":""sigma_connections""}",sendgrid_email,TRUE,Rename connection in Sigma extension manifest.,Active
NMC-SGM-004,Sigma function names must be kebab-case verb-noun,Naming,03_Sigma,Sigma,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""name"",""pattern"":""^[a-z]+-[a-z][a-z0-9-]*$"",""data_key"":""sigma_functions""}",calculate-lead-score,TRUE,Rename function to verb-noun kebab-case in Sigma extension.,Active
